fgood,cbinq,cbline,cbterm,cblineut,cbtob,cbdpd,cbnew,pmt,tob,dpd,dep,dc,od,home,dd,online,period
No,2,2,0,47.51361056,5,No,No,M,2,Medium,10481.4,20,1,No,0,Yes,3/31/2018
No,2,2,2,52.36222267,4,No,No,A,1,High,10182.43,17,1,No,0,Yes,5/31/2018
No,2,2,0,35.89640493,5,No,Yes,M,2,High,9645.37,23,0,No,0,Yes,7/31/2018
No,2,3,1,41.93578122,6,No,No,P,4,Medium,13702.76,31,1,No,0,Yes,12/31/2017
No,0,1,0,44.23661881,5,No,No,P,4,Medium,18720.09,26,2,Yes,1,Yes,2/28/2018
No,0,0,0,43.59247626,7,Yes,Yes,A,4,Low,10217.07,31,0,No,0,Yes,3/31/2018
No,1,1,0,32.39713158,7,No,No,M,0,Medium,11993.53,26,1,No,0,Yes,4/30/2018
No,2,0,1,52.84136277,6,No,No,A,4,Low,13531.47,13,1,Yes,1,No,1/31/2018
No,1,1,0,28.06463458,4,No,No,M,4,Medium,13057.34,21,0,No,1,Yes,3/31/2018
No,0,2,0,49.27426294,3,No,No,M,1,Medium,12178.77,21,1,No,0,Yes,5/31/2018
No,1,4,1,39.05393011,5,No,No,P,5,Low,12079.67,22,2,No,2,Yes,9/30/2018
No,0,0,0,32.82417947,8,No,No,A,5,Medium,13388.34,28,0,No,1,Yes,7/31/2018
No,1,2,1,37.8291735,6,No,No,A,3,Low,12491.98,14,0,Yes,2,Yes,12/31/2017
No,0,0,0,12.33685608,6,No,No,P,5,Medium,17713.71,30,0,Yes,2,Yes,1/31/2018
No,2,3,0,51.68981215,4,No,No,P,3,Medium,11271.09,19,1,Yes,2,Yes,3/31/2018
No,2,4,0,29.35385434,4,No,No,P,2,Medium,12978.53,15,2,Yes,2,No,9/30/2018
No,0,0,0,41.58380925,6,No,No,M,5,Medium,16119.24,27,0,No,0,No,8/31/2018
No,1,3,0,36.32275893,4,No,No,M,5,Medium,15086.18,25,2,No,1,No,8/31/2018
No,1,1,0,51.85194579,5,No,No,A,2,Medium,14605.42,28,0,No,0,Yes,12/31/2017
No,1,3,0,27.39969602,4,No,No,M,4,Low,14539.17,16,2,Yes,1,Yes,6/30/2018
No,2,3,0,60.53191631,5,No,No,M,3,Medium,13977.75,8,0,No,0,Yes,7/31/2018
No,1,2,0,40.97370714,5,No,No,P,3,Low,14471.13,27,0,No,1,Yes,5/31/2018
No,0,1,0,55.24542862,5,No,No,P,5,Medium,15539.4,30,0,Yes,2,No,7/31/2018
No,1,3,0,40.23186055,6,No,No,A,5,Medium,15043.29,24,0,Yes,2,No,1/31/2018
No,1,0,0,36.61073652,5,No,No,A,5,Medium,14838.09,26,0,Yes,2,No,9/30/2018
No,1,1,0,60.3897647,8,No,No,A,3,Medium,17323.87,22,0,Yes,0,Yes,6/30/2018
No,1,1,0,33.8903981,6,No,No,A,5,Medium,14877.41,24,0,No,2,No,4/30/2018
No,2,3,1,39.62873205,5,No,No,M,3,Low,13881.95,18,0,No,0,Yes,8/31/2018
No,1,1,0,54.12644624,7,No,No,P,4,Medium,9800.51,26,0,Yes,1,Yes,2/28/2018
No,1,0,0,8.155834194,7,No,No,A,5,Medium,12821.85,21,0,Yes,2,No,2/28/2018
No,1,2,0,24.99872971,5,No,No,A,5,Medium,18557.3,20,1,Yes,2,No,8/31/2018
No,0,1,1,34.98461746,6,No,No,P,5,Medium,17621.18,24,0,Yes,1,Yes,5/31/2018
